,Target stack=F,Name,R2 Train stack=F,R2 Val stack=F,R2 Test stack=F,R2 All stack=F
0,target_1,elec_en_r,0.9934763080979864,0.9938062478830751,0.9947857510573472,0.9938034315021196
1,target_2,elec_en_n,0.9945219702915866,0.9942262225133877,0.9951173374765285,0.994584740054088
2,target_3,gibbs_r,0.9908685203008138,0.9933144932945428,0.9925659210851172,0.9916818738155274
3,target_4,elec_en_o,0.9931624647181458,0.9929707273509624,0.9946126763827775,0.9934172839949629
4,target_5,gibbs_n,0.9919333565747445,0.9920975634825664,0.992789619178555,0.9921373532206563
5,target_6,gibbs_o,0.9920792031627534,0.993964538664582,0.9938271074780122,0.9927945662611631
6,target_7,homo_spin_down_o,0.9874763875256397,0.9644522169592271,0.9633234677451722,0.9782085776867803
7,target_8,homo_spin_up_o,0.9837324431742819,0.9626048944935449,0.9606187135629902,0.9749549831263055
8,target_9,ddg_ox,0.9861253119246651,0.956170085771755,0.9581197065561599,0.9746384733157609
9,target_10,lumo_n,0.9864010008639571,0.9469994882744203,0.9490601741404352,0.9710099219438199
10,target_11,lumo_spin_up_o,0.9816821146142574,0.9327919411586707,0.9391743698677573,0.9631709677869176
11,target_12,max_charge_pos_n,0.980614774871319,0.936575541914152,0.9324367978453908,0.9620044855255246
12,target_13,max_charge_pos_o,0.9768025767668468,0.9339655478709186,0.9306982615562039,0.9590038174603396
13,target_14,ddg_red,0.9789808069211339,0.9259518225754374,0.9303009743366911,0.9585190838420437
14,target_15,lumo_spin_down_o,0.9780951804155512,0.9403563885535658,0.9359820347117027,0.9622082886119967
15,target_16,homo_n,0.9746860144965159,0.9150516411800873,0.9165801200402441,0.9513624696803884
16,target_17,lumo_spin_up_r,0.976161898097541,0.9133331751148563,0.9153148134228459,0.9515439765959898
17,target_18,max_charge_pos_r,0.9464776257639914,0.8921190301918889,0.8779832045679026,0.9218060955497671
18,target_19,lumo_spin_down_r,0.952700850329309,0.8428099007410255,0.8566842504425246,0.9115268400249921
19,target_20,max_charge_neg_n,0.9512445417128434,0.8540924739059077,0.85259996421713,0.9121672082671974
20,target_21,max_charge_neg_o,0.9486153883189002,0.8439850367425648,0.8400098860302749,0.9062657219382744
21,target_22,homo_spin_up_r,0.9496125476831028,0.8186797604667028,0.835223353496853,0.9004615474675336
22,target_23,homo_spin_down_r,0.9569683562833423,0.7923700156390061,0.8205543021261973,0.8964267021437837
23,target_24,max_charge_neg_r,0.9385688045277667,0.7760235099353718,0.757513444383719,0.8694910524985172
24,target_25,max_spin_r,0.8735496255288739,0.6652443031283375,0.6848827083065381,0.7942375485264936
25,target_26,max_spin_o,0.8996057674288169,0.6902093771460314,0.6945254461005903,0.8152319955678939
26,target_27,dipole_r,0.8237495420545167,0.5516654728452612,0.5925298650372302,0.7189959025077945
27,target_28,dipole_o,0.8383964210310975,0.5686406972979574,0.5931593386492022,0.735649436795154
28,target_29,dipole_n,0.7807812387603636,0.44928352184318276,0.44475542125630807,0.6475948345900021
