file_name,homo_n,lumo_n,max_charge_pos_n,max_charge_neg_n,dipole_n,gibbs_n,elec_en_n,homo_spin_up_o,lumo_spin_up_o,homo_spin_down_o,lumo_spin_down_o,max_charge_pos_o,max_charge_neg_o,max_spin_o,dipole_o,gibbs_o,elec_en_o,homo_spin_up_r,lumo_spin_up_r,homo_spin_down_r,lumo_spin_down_r,max_charge_pos_r,max_charge_neg_r,max_spin_r,dipole_r,gibbs_r,elec_en_r,ion_pot,elec_aff,selfies,smiles
3,-0.204409,-0.133006,0.659154,-0.558242,3.05424,-606.52375506,-606.615903866857,,,,,,,,,,,0.030156,0.074337,-0.036558,0.037342,0.472059,-0.496609,0.904752,4.82312,-606.57254632,-606.663589979568,,-1.3276589758608155,[O][=C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ag],O=C(CC1=CC=CC=C1)O[Ag]
39,,,,,,,,-0.311089,-0.246184,-0.31571,-0.300557,0.548797,-0.671554,0.214406,6.83854,-1637.59157482,-1638.030852004258,,,,,,,,,,,,,[C][C][=C][C][Branch1][C][C][=C][Branch2][Ring2][=Branch1][C][=C][C][=C][Branch1][C][C][C][=C][C][Ring1][#Branch1][=N+1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][C][C][=C][Ring2][Ring1][=Branch1][Ring1][#Branch1][C][Branch1][C][C][=C][Ring2][Ring1][=C].[F][B-1][Branch1][C][F][Branch1][C][F][F],CC1=CC(C)=C(C2=C3C=C(C)C=CC3=[N+1](C4=CC=CC=C4)C5=CC=C(C)C=C25)C(C)=C1.F[B-1](F)(F)F
48,,,,,,,,-0.359883,-0.210364,-0.357294,-0.346338,0.769819,-0.603017,0.224999,6.84793,-1351.91636077,-1352.300994531926,,,,,,,,,,,,,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=O+1][Ring1][=C].[F][B-1][Branch1][C][F][Branch1][C][F][F],COC1=CC=CC=C1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=[O+1]2.F[B-1](F)(F)F
51,,,,,,,,-0.351276,-0.209445,-0.340265,-0.341286,0.546878,-0.576285,0.246674,2.35471,-1311.21049143,-1311.524218780468,,,,,,,,,,,,,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O+1][Ring2][Ring1][C].[F][B-1][Branch1][C][F][Branch1][C][F][F],CC(C)(C)C1=CC(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[O+1]1.F[B-1](F)(F)F
52,,,,,,,,-0.299826,-0.292448,-0.32418,-0.285515,0.427373,-0.59403,0.610169,6.55641,-1424.2714506,-1424.581872505113,,,,,,,,,,,,,[C][C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O+1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][C][C][=C][Ring2][Ring1][Branch2].[F][B-1][Branch1][C][F][Branch1][C][F][F],CC1=CC=C(C2=CC(C3=CC=CC=C3)=[O+1]C(C4=CC=CC=C4)=C2)C=C1.F[B-1](F)(F)F
53,,,,,,,,-0.326654,-0.235103,-0.324921,-0.321444,0.428848,-0.437633,0.258701,9.78341,-1499.40461995,-1499.724793867934,,,,,,,,,,,,,[C][O][C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O+1][Ring2][Ring1][C][C][=C][Ring2][Ring1][Branch2].[F][B-1][Branch1][C][F][Branch1][C][F][F],COC1=CC=C(C2=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=[O+1]2)C=C1.F[B-1](F)(F)F
54,,,,,,,,-0.345643,-0.229084,-0.341806,-0.335965,0.322773,-0.404022,0.212767,7.20262,-1384.99731425,-1385.285804384524,,,,,,,,,,,,,[F][B-1][Branch1][C][F][Branch1][C][F][F].[C][=C][C][=C][Branch2][Ring1][=C][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O+1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][C][C][=C][Ring2][Ring1][Branch2],F[B-1](F)(F)F.C1=CC=C(C2=CC(C3=CC=CC=C3)=[O+1]C(C4=CC=CC=C4)=C2)C=C1
57,,,,,,,,-0.339045,-0.246964,-0.34659,-0.322997,0.938312,-0.647651,0.320699,6.9863,-1193.56761068,-1193.803797555583,,,,,,,,,,,,,[C][C][=C][C][=C][Branch2][Ring1][Ring1][C][=C][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O+1][Ring1][N][C][=C][Ring2][Ring1][C].[F][B-1][Branch1][C][F][Branch1][C][F][F],CC1=CC=C(C2=CC=CC(C3=CC=CC=C3)=[O+1]2)C=C1.F[B-1](F)(F)F
65,,,,,,,,-0.271541,-0.257692,-0.30714,-0.257751,0.771371,-0.561406,0.364104,7.80956,-1890.66492917,-1891.212310228447,,,,,,,,,,,,,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch2][Ring1][=N][C][=C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=S+1][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=C][Ring1][=C][=C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=N][Ring2][Ring1][Branch2].[F][B-1][Branch1][C][F][Branch1][C][F][F],CC(C)(C)C1=CC(C2=CC(C(C)(C)C)=[S+1]C(C(C)(C)C)=C2)=CC(C(C)(C)C)=N1.F[B-1](F)(F)F
74,,,,,,,,-0.317986,-0.226619,-0.322492,-0.306841,0.400016,-0.305702,0.185791,2.44393,-2534.94263837,-2535.281746104259,,,,,,,,,,,,,[Cl][C][=C][C][=C][Branch2][Ring2][O][C][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O+1][Ring2][Ring1][=Branch2][C][=C][Ring2][Ring1][#C].[F][B-1][Branch1][C][F][Branch1][C][F][F],ClC1=CC=C(C2=CC(C3=CC=C(Cl)C=C3)=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=[O+1]2)C=C1.F[B-1](F)(F)F
